aircraft_id,tail_number,aircraft_model,manufacturer,manufacture_date,engine_type,seat_capacity,max_range_km,airline_id,status
AC00001,VT-A001,A321neo,Airbus,2023-10-08,LEAP-1A,220,7400,AL009,Active
AC00002,VT-A002,A321neo,Airbus,2023-06-28,LEAP-1A,220,7400,AL006,Active
AC00003,VT-A003,A320neo,Airbus,2020-08-23,PW1100G,186,6300,AL003,Active
AC00004,VT-A004,A350-900,Airbus,2022-02-03,Rolls-Royce Trent XWB,325,15000,AL010,Active
AC00005,VT-A005,A350-900,Airbus,2019-12-28,Rolls-Royce Trent XWB,325,15000,AL006,Active
AC00006,VT-A006,A330neo,Airbus,2017-05-03,Rolls-Royce Trent 7000,287,13400,AL010,Active
AC00007,VT-A007,A320neo,Airbus,2017-05-01,PW1100G,186,6300,AL007,Active
AC00008,VT-A008,A350-1000,Airbus,2024-03-19,Rolls-Royce Trent XWB,369,16100,AL002,Active
AC00009,VT-A009,A320neo,Airbus,2020-04-28,LEAP-1A,186,6300,AL006,Active
AC00010,VT-A010,A330neo,Airbus,2015-03-21,Rolls-Royce Trent 7000,287,13400,AL007,Active
AC00011,VT-A011,A350-1000,Airbus,2023-03-16,Rolls-Royce Trent XWB,369,16100,AL010,Active
AC00012,VT-A012,A320neo,Airbus,2023-01-10,PW1100G,186,6300,AL011,Active
AC00013,VT-A013,A350-1000,Airbus,2015-03-22,Rolls-Royce Trent XWB,369,16100,AL007,Active
AC00014,VT-A014,A320neo,Airbus,2022-09-14,PW1100G,186,6300,AL004,Active
AC00015,VT-A015,A320neo,Airbus,2018-02-12,LEAP-1A,186,6300,AL002,Active
AC00016,VT-A016,A350-1000,Airbus,2019-03-26,Rolls-Royce Trent XWB,369,16100,AL010,Active
AC00017,VT-A017,A320neo,Airbus,2018-04-25,LEAP-1A,186,6300,AL003,Active
AC00018,VT-A018,A350-1000,Airbus,2023-09-27,Rolls-Royce Trent XWB,369,16100,AL010,Active
AC00019,VT-A019,A321neo,Airbus,2024-05-06,LEAP-1A,220,7400,AL002,Active
AC00020,VT-A020,A320neo,Airbus,2021-07-14,PW1100G,186,6300,AL002,Active
AC00021,VT-A021,A320neo,Airbus,2019-02-20,LEAP-1A,186,6300,AL003,Retired
AC00022,VT-A022,A320neo,Airbus,2023-05-06,PW1100G,186,6300,AL001,Active
AC00023,VT-A023,A330neo,Airbus,2018-05-11,Rolls-Royce Trent 7000,287,13400,AL007,Active
AC00024,VT-A024,A350-1000,Airbus,2024-08-23,Rolls-Royce Trent XWB,369,16100,AL011,Active
AC00025,VT-A025,A350-1000,Airbus,2024-10-01,Rolls-Royce Trent XWB,369,16100,AL003,Retired
AC00026,VT-A026,A350-1000,Airbus,2024-06-01,Rolls-Royce Trent XWB,369,16100,AL005,Active
AC00027,VT-A027,A330neo,Airbus,2023-11-21,Rolls-Royce Trent 7000,287,13400,AL011,Active
AC00028,VT-A028,A350-1000,Airbus,2019-11-12,Rolls-Royce Trent XWB,369,16100,AL011,Active
AC00029,VT-A029,A350-900,Airbus,2024-12-13,Rolls-Royce Trent XWB,325,15000,AL008,Active
AC00030,VT-A030,A350-1000,Airbus,2023-11-23,Rolls-Royce Trent XWB,369,16100,AL009,Active
AC00031,VT-A031,A321neo,Airbus,2025-06-27,PW1100G,220,7400,AL008,Active
AC00032,VT-A032,A330neo,Airbus,2020-06-27,Rolls-Royce Trent 7000,287,13400,AL010,Active
AC00033,VT-A033,A320neo,Airbus,2017-10-06,LEAP-1A,186,6300,AL010,Retired
AC00034,VT-A034,A330neo,Airbus,2017-09-26,Rolls-Royce Trent 7000,287,13400,AL012,Maintenance
AC00035,VT-A035,A330neo,Airbus,2015-10-17,Rolls-Royce Trent 7000,287,13400,AL007,Active
AC00036,VT-A036,A350-1000,Airbus,2019-02-16,Rolls-Royce Trent XWB,369,16100,AL009,Active
AC00037,VT-A037,A321neo,Airbus,2017-09-01,PW1100G,220,7400,AL003,Active
AC00038,VT-A038,A330neo,Airbus,2019-06-21,Rolls-Royce Trent 7000,287,13400,AL002,Active
AC00039,VT-A039,A320neo,Airbus,2020-05-18,LEAP-1A,186,6300,AL005,Active
AC00040,VT-A040,A321neo,Airbus,2023-09-27,LEAP-1A,220,7400,AL007,Active
AC00041,VT-A041,A320neo,Airbus,2023-01-28,LEAP-1A,186,6300,AL007,Active
AC00042,VT-A042,A350-900,Airbus,2017-11-25,Rolls-Royce Trent XWB,325,15000,AL008,Active
AC00043,VT-A043,A330neo,Airbus,2023-11-06,Rolls-Royce Trent 7000,287,13400,AL009,Maintenance
AC00044,VT-A044,A350-1000,Airbus,2017-07-25,Rolls-Royce Trent XWB,369,16100,AL006,Retired
AC00045,VT-A045,A321neo,Airbus,2023-11-06,PW1100G,220,7400,AL009,Active
AC00046,VT-A046,A321neo,Airbus,2015-06-19,PW1100G,220,7400,AL008,Active
AC00047,VT-A047,A330neo,Airbus,2017-09-06,Rolls-Royce Trent 7000,287,13400,AL008,Active
AC00048,VT-A048,A350-900,Airbus,2022-04-04,Rolls-Royce Trent XWB,325,15000,AL009,Active
AC00049,VT-A049,A321neo,Airbus,2019-04-17,LEAP-1A,220,7400,AL003,Maintenance
AC00050,VT-A050,A321neo,Airbus,2015-07-09,PW1100G,220,7400,AL012,Active
AC00051,VT-A051,A350-900,Airbus,2025-03-03,Rolls-Royce Trent XWB,325,15000,AL010,Retired
AC00052,VT-A052,A350-1000,Airbus,2023-03-24,Rolls-Royce Trent XWB,369,16100,AL001,Active
AC00053,VT-A053,A320neo,Airbus,2017-08-25,LEAP-1A,186,6300,AL007,Active
AC00054,VT-A054,A321neo,Airbus,2021-05-03,LEAP-1A,220,7400,AL011,Active
AC00055,VT-A055,A320neo,Airbus,2015-09-14,PW1100G,186,6300,AL001,Active
AC00056,VT-A056,A320neo,Airbus,2024-06-05,PW1100G,186,6300,AL004,Active
AC00057,VT-A057,A330neo,Airbus,2021-02-05,Rolls-Royce Trent 7000,287,13400,AL010,Maintenance
AC00058,VT-A058,A350-1000,Airbus,2024-11-14,Rolls-Royce Trent XWB,369,16100,AL010,Active
AC00059,VT-A059,A321neo,Airbus,2019-10-15,PW1100G,220,7400,AL001,Active
AC00060,VT-A060,A350-900,Airbus,2015-09-26,Rolls-Royce Trent XWB,325,15000,AL007,Active
AC00061,VT-A061,A320neo,Airbus,2025-09-02,LEAP-1A,186,6300,AL009,Maintenance
AC00062,VT-A062,A350-900,Airbus,2023-03-09,Rolls-Royce Trent XWB,325,15000,AL001,Maintenance
AC00063,VT-A063,A350-900,Airbus,2019-08-04,Rolls-Royce Trent XWB,325,15000,AL008,Active
AC00064,VT-A064,A330neo,Airbus,2025-05-23,Rolls-Royce Trent 7000,287,13400,AL006,Active
AC00065,VT-A065,A350-1000,Airbus,2017-10-13,Rolls-Royce Trent XWB,369,16100,AL006,Active
AC00066,VT-A066,A350-1000,Airbus,2024-09-12,Rolls-Royce Trent XWB,369,16100,AL002,Active
AC00067,VT-A067,A350-900,Airbus,2018-01-12,Rolls-Royce Trent XWB,325,15000,AL006,Maintenance
AC00068,VT-A068,A350-900,Airbus,2018-04-18,Rolls-Royce Trent XWB,325,15000,AL001,Active
AC00069,VT-A069,A321neo,Airbus,2021-03-14,LEAP-1A,220,7400,AL008,Active
AC00070,VT-A070,A320neo,Airbus,2023-06-25,LEAP-1A,186,6300,AL010,Active
AC00071,VT-A071,A350-1000,Airbus,2020-06-27,Rolls-Royce Trent XWB,369,16100,AL004,Active
AC00072,VT-A072,A350-1000,Airbus,2025-07-10,Rolls-Royce Trent XWB,369,16100,AL011,Maintenance
AC00073,VT-A073,A320neo,Airbus,2023-06-08,LEAP-1A,186,6300,AL006,Active
AC00074,VT-A074,A350-1000,Airbus,2021-03-09,Rolls-Royce Trent XWB,369,16100,AL006,Active
AC00075,VT-A075,A320neo,Airbus,2016-11-18,LEAP-1A,186,6300,AL007,Active
AC00076,VT-A076,A350-900,Airbus,2021-11-18,Rolls-Royce Trent XWB,325,15000,AL007,Active
AC00077,VT-A077,A321neo,Airbus,2018-01-13,LEAP-1A,220,7400,AL012,Active
AC00078,VT-A078,A350-900,Airbus,2019-03-06,Rolls-Royce Trent XWB,325,15000,AL004,Active
AC00079,VT-A079,A350-900,Airbus,2023-06-12,Rolls-Royce Trent XWB,325,15000,AL006,Active
AC00080,VT-A080,A330neo,Airbus,2024-11-06,Rolls-Royce Trent 7000,287,13400,AL002,Retired
